ID,UUID,Versao_Form,Status,Data_Inicio,Hora_Inicio,Data_Fim,Hora_Fim,Duracao_min,Municipio,Cod_IBGE,Comunidade,Cod_Com,Polo,Bloco,Supervisor,Pesquisador,Mobilizador,Latitude,Longitude,Precisao_GPS_m,Foto,Consentimento,Diario_Campo,Link_Evidencia,Upload_Data,Area,Genero,Idade,Escolaridade,Renda,Tempo_Residencia,Q1_QV,Q2_Saude,Q3_Educ,Q4_RelEmpresa,Q5_Prioridade,Q6_Preocupacao,Obs_Aberta
24,UUID-1024,v2.4,Completa,2026-04-13,08:22,2026-04-27,14:42,31,Boa Esperança,310005,Santa Rita,BE05,Polo 1,B5,Paula,Júlia,Lia,-18.1504243730004,-43.1776690819099,8,Sim,Sim,Sim,https://repo/evid/24.jpg,2026-04-23,Rural,M,72,Superior,1800,28,3,5,4,5,Educação,Transporte,
25,UUID-1025,v2.4,Completa,2026-04-28,12:20,2026-04-17,09:17,36,São Miguel do Norte,310007,São José,SM07,Polo 2,B4,Paula,Rafaela,Marcos,-18.6210106958717,-43.9713000022299,15,Sim,Sim,Sim,https://repo/evid/25.jpg,2026-04-15,Rural,F,70,Médio,2500,22,4,5,4,5,Saúde,Água,
26,UUID-1026,v2.4,Completa,2026-04-23,15:35,2026-04-17,15:41,39,Santa Aurora,310002,Lagoa,SA02,Polo 4,B1,Marina,Júlia,Lia,-18.5955988713221,-43.7566948361232,23,Sim,Sim,Sim,https://repo/evid/26.jpg,2026-04-21,Rural,M,33,Médio,4500,22,4,4,4,3,Água,Água,
27,UUID-1027,v2.4,Completa,2026-04-16,13:07,2026-04-27,10:12,21,Santa Aurora,310002,Lagoa,SA02,Polo 4,B3,Paula,Rafaela,Marcos,-18.4032092594877,-43.0194893695375,11,Sim,Sim,Sim,https://repo/evid/27.jpg,2026-04-19,Urbana,M,64,Fundamental,2500,1,3,3,2,1,Água,Água,
28,UUID-1028,v2.4,Completa,2026-04-10,12:30,2026-04-25,15:21,19,Pedra Branca,310008,Pedreira,PB08,Polo 1,B3,João,Ana,Lia,-18.5992925577481,-43.9259178297444,25,Sim,Sim,Sim,https://repo/evid/28.jpg,2026-04-11,Urbana,F,24,Superior,2500,6,3,1,5,5,Emprego,Transporte,
29,UUID-1029,v2.4,Completa,2026-04-24,12:55,2026-04-28,14:19,11,Pedra Branca,999999,Pedreira,PB08,Polo 1,B2,Paula,Carlos,Bruno,-18.339571862808,-43.8429429066191,10,Sim,Sim,Sim,https://repo/evid/29.jpg,2026-04-27,Urbana,F,76,Fundamental,3200,29,5,3,2,2,Água,Saúde,
30,UUID-1030,v2.4,Completa,2026-04-17,12:50,2026-04-28,11:27,15,Pedra Branca,310008,,PB08,Polo 2,B6,Marina,Júlia,Lia,-18.9285901631442,-43.8340772107793,14,Sim,Sim,Sim,https://repo/evid/30.jpg,2026-04-29,Rural,M,22,Fundamental,3200,45,4,4,4,5,Educação,Transporte,
31,UUID-1031,v2.4,Completa,2026-04-11,14:47,2026-04-20,17:16,9,Santa Aurora,310002,Lagoa,SA02,Polo 1,B2,Paula,Rafaela,Marcos,-18.0492137221937,-43.0004275831226,13,Sim,Sim,Sim,https://repo/evid/31.jpg,2026-04-28,Urbana,F,56,Médio,4500,42,5,3,3,5,Educação,Transporte,
32,UUID-1032,v2.4,Completa,2026-04-21,14:21,2026-04-20,09:54,18,Santa Aurora,310002,Lagoa,SA02,Polo 3,B4,Paula,Pedro,Bruno,-18.3374164630086,-43.5995477451863,22,Sim,Sim,Sim,https://repo/evid/32.jpg,2026-04-11,Rural,F,48,Médio,2500,21,2,4,2,5,Educação,Transporte,
33,UUID-1033,v2.4,Completa,2026-04-26,13:39,2026-04-25,15:48,11,Rio Claro,310001,Centro,RC01,Polo 2,B3,Paula,Carlos,Bruno,-18.5618839049276,-43.3017499708778,8,Sim,Sim,Sim,https://repo/evid/33.jpg,2026-04-10,Urbana,F,30,Médio,4500,1,5,1,3,1,Educação,Emprego,
34,UUID-1034,v2.4,Completa,2026-04-19,16:45,2026-04-18,14:53,38,Vale Verde,310003,Boa Vista,VV03,Polo 4,B2,João,Rafaela,Lia,-18.6164139867529,-43.0781318500684,21,Sim,Sim,Sim,https://repo/evid/34.jpg,2026-04-14,Urbana,M,49,Médio,2500,60,4,1,4,3,Educação,Água,
35,UUID-1035,v2.4,Completa,2026-04-25,13:21,2026-04-27,16:24,37,Pedra Branca,310008,Pedreira,PB08,Polo 3,B2,Paula,Carlos,Marcos,-18.6170291510704,-43.1439870240126,18,Sim,Sim,Sim,https://repo/evid/35.jpg,2026-04-11,Rural,M,52,Superior,3200,25,3,4,2,2,Água,Emprego,
36,UUID-1036,v2.4,Completa,2026-04-26,15:00,2026-04-14,14:55,17,Pedra Branca,310008,Pedreira,PB08,Polo 1,B4,João,Júlia,Marcos,-18.3072954014131,-43.3501633474207,15,Sim,Sim,Sim,https://repo/evid/36.jpg,2026-04-27,Rural,M,24,Superior,3200,56,2,5,2,2,Água,Água,
37,UUID-1037,v2.4,Completa,2026-04-13,09:28,2026-04-15,12:57,9,Santa Aurora,310002,Lagoa,SA02,Polo 1,B3,Marina,Júlia,Bruno,-18.6251589102247,-43.8544302043006,21,Sim,Sim,Sim,https://repo/evid/37.jpg,2026-04-23,Urbana,F,45,Fundamental,1200,40,5,5,3,4,Emprego,Água,
38,UUID-1038,v2.4,Completa,2026-04-18,15:16,2026-04-10,15:57,26,Pedra Branca,310008,Pedreira,PB08,Polo 2,B1,João,Júlia,Marcos,-18.7008457508762,-43.0379709271766,13,Sim,Sim,Sim,https://repo/evid/38.jpg,2026-04-24,Rural,F,58,Médio,3200,7,3,4,4,5,Água,Saúde,
39,UUID-1038,v2.4,Completa,2026-04-18,15:16,2026-04-10,15:57,26,Pedra Branca,310008,Pedreira,PB08,Polo 2,B1,João,Júlia,Marcos,-18.7008457508762,-43.0379709271766,13,Sim,Sim,Sim,https://repo/evid/38.jpg,2026-04-24,Rural,F,58,Médio,3200,7,3,4,4,5,Água,Saúde,
40,UUID-1040,v2.4,Completa,2026-04-14,16:56,2026-04-21,16:32,25,Vale Verde,310003,Boa Vista,VV03,Polo 2,B3,João,Júlia,Marcos,-18.129603040675,-43.1957674613955,19,Sim,Sim,Sim,https://repo/evid/40.jpg,2026-04-12,Urbana,F,30,Superior,3200,55,4,1,5,1,Água,Emprego,
41,UUID-1041,v2.4,Completa,2026-04-18,14:52,2026-04-21,09:43,22,Pedra Branca,310008,Pedreira,PB08,Polo 4,B1,Paula,Rafaela,Bruno,-18.0847440912568,-43.778632799926,7,Sim,Sim,Sim,https://repo/evid/41.jpg,2026-04-24,Rural,M,41,Fundamental,1800,3,2,3,5,1,Saúde,Água,
42,UUID-1042,v2.4,Completa,2026-04-24,13:42,2026-04-27,14:37,17,Vale Verde,310003,Boa Vista,VV03,Polo 4,B6,Marina,Pedro,Marcos,-18.5918841143023,-43.0484784746189,6,Sim,Sim,Sim,https://repo/evid/42.jpg,2026-04-21,Urbana,M,42,Médio,1800,55,4,1,4,5,Água,Emprego,
43,UUID-1043,v2.4,Completa,2026-04-16,09:54,2026-04-24,09:42,21,São Miguel do Norte,310007,São José,SM07,Polo 1,B1,João,Carlos,Lia,-18.2130219000237,-43.7947944248571,22,Sim,Sim,Sim,https://repo/evid/43.jpg,2026-04-16,Urbana,F,35,Médio,1800,51,2,3,3,2,Água,Água,
44,UUID-1044,v2.4,Completa,2026-04-10,10:00,2026-04-21,11:37,28,Santa Aurora,310002,Lagoa,SA02,Polo 1,B2,João,Ana,Lia,-18.2582819430459,-43.4739144734021,7,Sim,Sim,Sim,https://repo/evid/44.jpg,2026-04-25,Rural,M,60,Superior,4500,7,5,5,3,5,Saúde,Saúde,
45,UUID-1045,v2.4,Completa,2026-04-10,08:30,2026-04-22,14:43,14,Pedra Branca,310008,Pedreira,PB08,Polo 4,B6,João,Ana,Lia,-18.6778881802537,-43.8516661743396,9,Sim,Sim,Sim,https://repo/evid/45.jpg,2026-04-18,Rural,M,59,Superior,4500,19,5,5,5,1,Saúde,Água,
46,UUID-1046,v2.4,Completa,2026-04-17,14:21,2026-04-24,14:26,14,São Miguel do Norte,310007,São José,SM07,Polo 3,B4,João,Tiago,Bruno,-18.6256989765645,-43.8473610752313,20,Sim,Sim,Sim,https://repo/evid/46.jpg,2026-04-12,Urbana,F,46,Fundamental,3200,7,4,2,2,5,Água,Emprego,
47,UUID-1047,v2.4,Completa,2026-04-23,08:18,2026-04-19,13:06,40,São Miguel do Norte,310007,São José,SM07,Polo 2,B2,Paula,Pedro,Lia,-18.1527251518651,-43.6498860057788,22,Sim,Sim,Sim,https://repo/evid/47.jpg,2026-04-21,Urbana,M,40,Superior,1800,52,5,5,2,5,Água,Emprego,
48,UUID-1048,v2.4,Completa,2026-04-19,13:22,2026-04-10,10:55,17,Vale Verde,310003,Boa Vista,VV03,Polo 4,B1,Marina,Tiago,Marcos,-18.028189681242,-43.9082423169456,21,Sim,Sim,Sim,https://repo/evid/48.jpg,2026-04-16,Rural,M,35,Médio,2500,11,4,3,4,5,Saúde,Emprego,
49,UUID-1049,v2.4,Completa,2026-04-11,09:17,2026-04-24,14:31,36,Vale Verde,310003,Boa Vista,VV03,Polo 4,B3,Marina,Rafaela,Lia,-18.6548271445191,-43.8891102277991,23,Sim,Sim,Sim,https://repo/evid/49.jpg,2026-04-25,Rural,F,-4,Fundamental,3200,39,2,1,3,3,Emprego,Água,
50,UUID-1050,v2.4,Completa,2026-04-20,09:00,2026-04-25,14:11,16,Boa Esperança,310005,Santa Rita,BE05,Polo 4,B5,Paula,Carlos,Marcos,-18.4412764323253,-43.3319518282548,16,Sim,Sim,Sim,https://repo/evid/50.jpg,2026-04-12,Rural,F,132,Médio,1200,30,2,3,5,5,Educação,Transporte,
51,UUID-1051,v2.4,Completa,2026-04-22,08:20,2026-04-15,17:29,31,Boa Esperança,310005,Santa Rita,BE05,Polo 1,B4,Marina,Carlos,Bruno,-18.4111287116971,-43.4760374569994,17,Sim,Sim,Sim,https://repo/evid/51.jpg,2026-04-19,Rural,F,15,Superior,1800,5,2,5,3,3,Água,Água,
52,UUID-1052,v2.4,Completa,2026-04-14,12:12,2026-04-15,17:09,12,Serra Azul,310004,Barreiro,SZ04,Polo 2,B6,João,Pedro,Marcos,-18.2401228503923,-43.5510947430049,23,Sim,Sim,Sim,https://repo/evid/52.jpg,2026-04-29,Rural,M,24,Fundamental,3200,5,5,4,4,3,Saúde,Saúde,
53,UUID-1053,v2.4,Completa,2026-04-24,15:02,2026-04-11,13:53,26,Santa Aurora,310002,Lagoa,SA02,Polo 1,B6,Marina,Rafaela,Marcos,-18.4929321826661,-43.5372883410727,22,Sim,Sim,Sim,https://repo/evid/53.jpg,2026-04-11,Rural,F,37,Médio,4500,31,3,1,5,1,Água,Emprego,
54,UUID-1054,v2.4,Completa,2026-04-17,15:28,2026-04-26,16:39,18,Vale Verde,310003,Boa Vista,VV03,Polo 3,B3,João,Pedro,Bruno,-18.2255352114263,-43.3211022794404,6,Sim,Sim,Sim,https://repo/evid/54.jpg,2026-04-20,Urbana,M,20,Fundamental,4500,44,5,3,4,5,Emprego,Saúde,
55,UUID-1055,v2.4,Completa,2026-04-14,13:19,2026-04-22,10:38,13,Santa Aurora,310002,Lagoa,SA02,Polo 3,B5,João,Tiago,Bruno,-18.1868152161852,-43.3298836000053,21,Sim,Sim,Sim,https://repo/evid/55.jpg,2026-04-12,Rural,M,55,Fundamental,2500,20,3,2,4,4,Emprego,Água,
56,UUID-1056,v2.4,Completa,2026-04-12,12:54,2026-04-13,16:49,42,Vale Verde,310003,Boa Vista,VV03,Polo 1,B6,João,Rafaela,Lia,-18.4027535589284,-43.8457472386789,10,Sim,Sim,Sim,https://repo/evid/56.jpg,2026-04-29,Urbana,M,27,Fundamental,3200,24,3,4,4,4,Emprego,Água,
57,UUID-1057,v2.4,Completa,2026-04-25,11:23,2026-04-28,15:29,26,Boa Esperança,310005,Santa Rita,BE05,Polo 4,B5,Paula,Pedro,Lia,-18.1831087604188,-43.1987407758485,9,Sim,Sim,Sim,https://repo/evid/57.jpg,2026-04-18,Urbana,M,69,Médio,4500,60,2,5,2,3,Saúde,Água,
58,UUID-1058,v2.4,Completa,2026-04-26,10:53,2026-04-23,09:58,22,Boa Esperança,310005,Santa Rita,BE05,Polo 4,B3,Marina,Pedro,Lia,-18.6035460345298,-43.626038512321,17,Sim,Sim,Sim,https://repo/evid/58.jpg,2026-04-12,Rural,F,46,Fundamental,2500,60,2,3,3,2,Saúde,Saúde,
59,UUID-1059,v2.4,Completa,2026-04-14,15:28,2026-04-10,09:01,24,Pedra Branca,310008,Pedreira,PB08,Polo 2,B2,Paula,Tiago,Marcos,91.234,-200.3,14,Sim,Sim,Sim,https://repo/evid/59.jpg,2026-04-17,Rural,F,62,Fundamental,1800,27,5,1,2,4,Saúde,Água,
60,UUID-1060,v2.4,Completa,2026-04-23,08:39,2026-04-21,11:36,34,Vale Verde,310003,Boa Vista,VV03,Polo 2,B6,Paula,Ana,Marcos,-18.0253455090478,-43.9323206770912,450,Sim,Sim,Sim,https://repo/evid/60.jpg,2026-04-27,Urbana,M,36,Médio,1200,41,5,3,4,1,Água,Emprego,
61,UUID-1061,v2.4,Completa,2026-04-13,13:08,2026-04-11,13:34,29,Lagoa Nova,310006,Córrego,LN06,Polo 2,B6,João,Tiago,Bruno,-18.3682641522417,-43.1885023181524,7,Sim,Sim,Sim,https://repo/evid/61.jpg,2026-04-24,Urbana,M,33,Fundamental,1200,51,3,1,4,3,Educação,Transporte,
62,UUID-1062,v2.4,Completa,2026-04-16,12:22,2026-04-11,13:17,15,Boa Esperança,310005,Santa Rita,BE05,Polo 3,B4,João,Tiago,Bruno,-18.105362505045,-43.6133552317393,10,Sim,Sim,Sim,https://repo/evid/62.jpg,2026-04-25,Rural,M,20,Superior,2500,52,2,4,2,4,Emprego,Saúde,
63,UUID-1063,v2.4,Completa,2026-04-12,13:42,2026-04-19,12:28,35,Lagoa Nova,310006,Córrego,LN06,Polo 2,B6,João,Júlia,Bruno,-18.9576448371499,-43.1299628249436,16,Sim,Sim,Sim,https://repo/evid/63.jpg,2026-04-29,Rural,M,24,Superior,1200,5,5,3,3,1,Emprego,Transporte,
64,UUID-1064,v2.4,Completa,2026-04-12,11:49,2026-04-21,13:24,10,Rio Claro,310001,Centro,RC01,Polo 2,B6,João,Júlia,Bruno,-18.5560607108244,-43.9231145711696,9,Sim,Sim,Sim,https://repo/evid/64.jpg,2026-04-26,Rural,M,26,Médio,2500,16,2,1,3,4,Educação,Emprego,
65,UUID-1065,v2.4,Completa,2026-04-18,15:13,2026-04-19,15:12,15,Boa Esperança,310005,Santa Rita,BE05,Polo 2,B1,João,Carlos,Marcos,-18.5548888072575,-43.9122092588953,15,Sim,Sim,Sim,https://repo/evid/65.jpg,2026-04-21,Urbana,M,67,Médio,1800,46,3,3,3,1,Emprego,Água,
66,UUID-1066,v2.4,Completa,2026-04-25,08:23,2026-04-27,17:23,37,Serra Azul,310004,Barreiro,SZ04,Polo 2,B5,Marina,Ana,Bruno,-18.6018400192291,-43.2830664014901,20,Sim,Sim,Sim,https://repo/evid/66.jpg,2026-04-26,Rural,M,68,Superior,1200,9,4,1,5,4,Água,Água,
67,UUID-1067,v2.4,Completa,2026-04-14,14:32,2026-04-11,09:33,17,Vale Verde,310003,Boa Vista,VV03,Polo 3,B2,Marina,Júlia,Marcos,-18.7745297152845,-43.0525168631904,21,Sim,Sim,Sim,https://repo/evid/67.jpg,2026-04-19,Urbana,M,67,Fundamental,4500,18,3,3,2,5,Emprego,Água,
68,UUID-1068,v2.4,Completa,2026-04-20,08:52,2026-04-10,09:02,24,Vale Verde,310003,Boa Vista,VV03,Polo 2,B5,João,Rafaela,Marcos,-18.9697141014186,-43.1110031185511,22,Sim,Sim,Sim,https://repo/evid/68.jpg,2026-04-19,Rural,M,60,Fundamental,3200,20,5,1,2,2,Educação,Transporte,
69,UUID-1069,v2.4,Completa,2026-04-16,13:38,2026-04-14,13:55,28,Pedra Branca,310008,Pedreira,PB08,Polo 3,B4,Marina,Júlia,Marcos,-18.4383487842516,-43.6808841135968,19,Sim,Não,Sim,https://repo/evid/69.jpg,2026-04-13,Rural,M,47,Fundamental,1800,7,2,3,5,5,Educação,Água,
70,UUID-1070,v2.4,Completa,2026-04-20,13:12,2026-04-15,15:32,37,Vale Verde,310003,Boa Vista,VV03,Polo 4,B3,João,Ana,Lia,-18.0547671959308,-43.4945555369762,12,Não,Sim,Sim,https://repo/evid/70.jpg,2026-04-16,Rural,F,70,Fundamental,2500,32,5,3,2,1,Educação,Água,
71,UUID-1071,v2.4,Completa,2026-04-21,14:23,2026-04-11,14:03,20,Boa Esperança,310005,Santa Rita,BE05,Polo 3,B5,João,Ana,Bruno,-18.4957444708768,-43.2355958852928,13,Sim,Sim,Sim,erro://arquivo,2026-04-29,Urbana,F,64,Fundamental,3200,24,4,5,4,2,Emprego,Transporte,
72,UUID-1072,v2.4,Completa,2026-04-11,10:45,2026-04-20,15:33,37,Rio Claro,310001,Centro,RC01,Polo 2,B5,Paula,Carlos,Bruno,-18.06863126447,-43.6814699682407,17,Sim,Sim,Sim,https://repo/evid/72.jpg,2026-03-01,Rural,M,20,Superior,4500,35,5,5,4,4,Saúde,Saúde,
73,UUID-1073,v2.4,Completa,2026-04-13,14:37,2026-04-19,08:38,38,Lagoa Nova,310006,Córrego,LN06,Polo 3,B6,Paula,Rafaela,Lia,-18.2785998877037,-43.4164767229524,10,Sim,Sim,Sim,https://repo/evid/73.jpg,2026-04-26,Rural,F,61,Superior,1800,3,2,2,2,4,Água,Transporte,
74,UUID-1074,v2.4,Completa,2026-04-16,14:32,2026-04-25,08:45,16,Vale Verde,310003,Boa Vista,VV03,Polo 2,B5,João,Tiago,Bruno,-18.4745228486,-43.6862474012622,10,Sim,Sim,Sim,https://repo/evid/74.jpg,2026-04-24,Rural,M,44,Superior,2500,40,5,2,3,3,Água,Água,
75,UUID-1075,v2.4,Completa,2026-04-19,11:44,2026-04-25,13:30,30,Boa Esperança,310005,Santa Rita,BE05,Polo 3,B3,Marina,Rafaela,Marcos,-18.4568091230117,-43.1042395384598,17,Sim,Sim,Sim,https://repo/evid/75.jpg,2026-04-21,Urbana,M,67,Fundamental,2500,46,2,3,5,3,Educação,Água,
76,UUID-1076,v2.4,Completa,2026-04-27,12:59,2026-04-27,12:08,14,Serra Azul,310004,Barreiro,SZ04,Polo 2,B2,Marina,Tiago,Marcos,-18.7743283537183,-43.7671634401941,8,Sim,Sim,Sim,https://repo/evid/76.jpg,2026-04-23,Rural,M,70,Fundamental,1800,1,3,4,5,4,Emprego,Saúde,
77,UUID-1077,v2.4,Completa,2026-04-11,09:41,2026-04-28,11:34,10,Lagoa Nova,310006,Córrego,LN06,Polo 2,B4,Marina,Ana,Bruno,-18.2120393701242,-43.8136883680775,14,Sim,Sim,Sim,https://repo/evid/77.jpg,2026-04-11,Urbana,M,36,Superior,4500,7,4,3,5,5,Educação,Água,
