ID_Entrevista,UUID,Pesquisador,Município,Comunidade,Termo_Consentimento,Arquivo_Termo,Foto_Entrevista,Arquivo_Foto,Diario_Campo,Arquivo_Diario,Data_Coleta,Data_Upload,Repositorio,Status_Validacao,Responsavel_QA,Observacoes
21,UUID-1021,Pedro,Lagoa Nova,COM10,Sim,TC_0021.pdf,Sim,IMG_0021.jpg,Sim,DC_0021.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,Marina,
22,UUID-1022,Rafaela,São Miguel do Norte,COM11,Sim,TC_0022.pdf,Sim,IMG_0022.jpg,Sim,DC_0022.pdf,2026-04-13,2026-04-13,Repositorio_DSP,Validado,João,
23,UUID-1023,Tiago,Pedra Branca,COM12,Sim,TC_0023.pdf,Sim,IMG_0023.jpg,Sim,DC_0023.pdf,2026-04-14,2026-04-14,Repositorio_DSP,Validado,Paula,
24,UUID-1024,Ana,Rio Claro,COM01,Sim,TC_0024.pdf,Sim,IMG_0024.jpg,Sim,DC_0024.pdf,2026-04-15,2026-04-15,Repositorio_DSP,Validado,Marina,
25,UUID-1025,Carlos,Santa Aurora,COM02,Sim,TC_0025.pdf,Sim,IMG_0025.jpg,Sim,DC_0025.pdf,2026-04-16,2026-04-16,Repositorio_DSP,Validado,João,
26,UUID-1026,Júlia,Vale Verde,COM03,Sim,TC_0026.pdf,Sim,IMG_0026.jpg,Não,,2026-04-17,2026-04-17,Repositorio_DSP,Validado,Paula,
27,UUID-1027,Pedro,Serra Azul,COM04,Sim,TC_0027.pdf,Sim,IMG_0027.jpg,Sim,DC_0027.pdf,2026-04-18,2026-04-18,Repositorio_DSP,Validado,Marina,
28,UUID-1028,Rafaela,Boa Esperança,COM05,Sim,TC_0028.pdf,Sim,IMG_0028.jpg,Sim,DC_0028.pdf,2026-04-19,2026-04-19,Repositorio_DSP,Validado,João,
29,UUID-1029,Tiago,Lagoa Nova,COM06,Sim,TC_0029.pdf,Sim,IMG_0029.jpg,Sim,DC_0029.pdf,2026-04-20,2026-04-20,Repositorio_DSP,Validado,Paula,
30,UUID-1030,Ana,São Miguel do Norte,COM07,Sim,TC_0030.pdf,Sim,IMG_0030.jpg,Sim,DC_0030.pdf,2026-04-21,2026-04-21,Repositorio_DSP,Validado,Marina,
31,UUID-1031,Carlos,Pedra Branca,COM08,Sim,TC_0031.pdf,Sim,IMG_0031.jpg,Sim,DC_0031.pdf,2026-04-22,2026-04-22,Repositorio_DSP,Validado,João,
32,UUID-1032,Júlia,Rio Claro,COM09,Sim,TC_0032.pdf,Sim,IMG_0032.jpg,Sim,DC_0032.pdf,2026-04-23,2026-04-23,Repositorio_DSP,Validado,Paula,
33,UUID-1033,Pedro,Santa Aurora,COM10,Sim,TC_0033.pdf,Sim,IMG_0033.jpg,Sim,DC_0033.pdf,2026-04-24,2026-04-24,Repositorio_DSP,Validado,Marina,
34,UUID-1034,Rafaela,Vale Verde,COM11,Sim,TC_0034.pdf,Sim,IMG_0034.jpg,Sim,DC_0034.pdf,2026-04-25,2026-03-30,Repositorio_DSP,Validado,João,
35,UUID-1035,Tiago,Serra Azul,COM12,Sim,TC_0035.pdf,Sim,IMG_0035.jpg,Sim,DC_0035.pdf,2026-04-26,2026-04-26,Repositorio_DSP,Validado,Paula,
36,UUID-1036,Ana,Boa Esperança,COM01,Sim,TC_0036.pdf,Sim,IMG_0036.jpg,Sim,DC_0036.pdf,2026-04-27,2026-04-27,Repositorio_DSP,Validado,Marina,
37,UUID-1037,Carlos,Lagoa Nova,COM02,Sim,TC_0037.pdf,Sim,IMG_0037.jpg,Sim,DC_0037.pdf,2026-04-28,2026-04-28,Repositorio_DSP,Validado,João,
38,UUID-1038,Júlia,São Miguel do Norte,COM03,Sim,TC_0038.pdf,Sim,IMG_0038.jpg,Sim,DC_0038.pdf,2026-04-10,2026-04-10,Repositorio_DSP,Validado,Paula,
39,UUID-1039,Pedro,Pedra Branca,COM04,Sim,TC_0039.pdf,Sim,IMG_0039.jpg,Sim,DC_0039.pdf,2026-04-11,2026-04-11,Repo_Teste,Validado,Marina,
40,UUID-1040,Rafaela,Rio Claro,COM05,Sim,TC_0040.pdf,Sim,IMG_0040.jpg,Sim,DC_0040.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,João,
41,UUID-1041,Tiago,Santa Aurora,COM06,Sim,TC_0041.pdf,Sim,IMG_0041.jpg,Sim,DC_0041.pdf,2026-04-13,2026-04-13,Repositorio_DSP,Validado,Paula,
42,UUID-1042,Ana,Vale Verde,COM07,Sim,TC_0042.pdf,Sim,IMG_0042.jpg,Sim,DC_0042.pdf,2026-04-14,2026-04-14,Repositorio_DSP,Validado,Marina,
43,UUID-1043,Carlos,Serra Azul,COM08,Sim,TC_0043.pdf,Sim,IMG_0043.jpg,Sim,DC_0043.pdf,2026-04-15,2026-04-15,Repositorio_DSP,Validado,João,
44,UUID-1044,Júlia,Boa Esperança,COM09,Sim,TC_0044.pdf,Sim,IMG_0044.jpg,Sim,DC_0044.pdf,2026-04-16,2026-04-16,Repositorio_DSP,Pendente,Paula,
45,UUID-1045,Pedro,Lagoa Nova,COM10,Sim,TC_0045.pdf,Sim,IMG_0045.jpg,Sim,DC_0045.pdf,2026-04-17,2026-04-17,Repositorio_DSP,Validado,Marina,
46,UUID-1046,Rafaela,São Miguel do Norte,COM11,Sim,TC_0046.pdf,Sim,IMG_0046.jpg,Sim,DC_0046.pdf,2026-04-18,2026-04-18,Repositorio_DSP,Validado,João,
47,UUID-1047,Tiago,Pedra Branca,COM12,Sim,TC_0047.pdf,Sim,IMG_0047.jpg,Sim,DC_0047.pdf,2026-04-19,2026-04-19,Repositorio_DSP,Validado,Paula,
48,UUID-1048,Ana,Rio Claro,COM01,Sim,TC_0048.pdf,Sim,IMG_0048.jpg,Sim,DC_0048.pdf,2026-04-20,2026-04-20,Repositorio_DSP,Validado,Marina,
49,UUID-1049,Carlos,Santa Aurora,COM02,Sim,TC_0049.pdf,Sim,IMG_0049.jpg,Sim,DC_0049.pdf,2026-04-21,2026-04-21,Repositorio_DSP,Validado,João,
50,UUID-1050,Júlia,Vale Verde,COM03,Sim,TC_0050.pdf,Sim,IMG_0050.jpg,Sim,DC_0050.pdf,2026-04-22,2026-04-22,Repositorio_DSP,Validado,Paula,
51,UUID-9999,Pedro,Serra Azul,COM04,Sim,TC_0051.pdf,Sim,IMG_0051.jpg,Sim,DC_0051.pdf,2026-04-23,2026-04-23,Repositorio_DSP,Validado,Marina,
52,UUID-1052,Rafaela,Boa Esperança,COM05,Sim,TC_0052.pdf,Sim,IMG_0052.jpg,Sim,DC_0052.pdf,2026-04-24,2026-04-24,Repositorio_DSP,Validado,João,
53,UUID-1053,Tiago,Lagoa Nova,COM06,Sim,TC_0053.pdf,Sim,IMG_0053.jpg,Sim,DC_0053.pdf,2026-04-25,2026-04-25,Repositorio_DSP,Validado,Paula,
54,UUID-1054,Ana,São Miguel do Norte,COM07,Sim,TC_0054.pdf,Sim,IMG_0054.jpg,Sim,DC_0054.pdf,2026-04-26,2026-04-26,Repositorio_DSP,Validado,Marina,
55,UUID-1055,Carlos,Pedra Branca,COM08,Sim,TC_0055.pdf,Sim,IMG_0055.jpg,Sim,DC_0055.pdf,2026-04-27,2026-04-27,Repositorio_DSP,Validado,João,
56,UUID-1056,Júlia,Rio Claro,COM09,Sim,TC_0056.pdf,Sim,IMG_0056.jpg,Sim,DC_0056.pdf,2026-04-28,2026-04-28,Repositorio_DSP,Validado,Paula,
57,UUID-1057,Pedro,Santa Aurora,COM10,Sim,TC_0057.pdf,Sim,IMG_0057.jpg,Sim,DC_0057.pdf,2026-04-10,2026-04-10,Repositorio_DSP,Validado,Marina,
58,UUID-1058,Rafaela,Vale Verde,COM11,Sim,TC_0058.pdf,Sim,IMG_0058.jpg,Sim,DC_0058.pdf,2026-04-11,2026-04-11,Repositorio_DSP,Validado,João,
59,UUID-1059,Tiago,Serra Azul,COM12,Sim,TC_0059.pdf,Sim,IMG_0059.jpg,Sim,DC_0059.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,Paula,
60,UUID-1060,Ana,Boa Esperança,COM01,Sim,TC_0060.pdf,Sim,IMG_0060.jpg,Sim,DC_0060.pdf,2026-04-13,2026-04-13,Repositorio_DSP,Validado,Marina,
61,UUID-1061,Carlos,Lagoa Nova,COM02,Sim,TC_0061.pdf,Sim,IMG_0061.jpg,Sim,DC_0061.pdf,2026-04-14,2026-04-14,Repositorio_DSP,Validado,João,
62,UUID-1062,Júlia,São Miguel do Norte,COM03,Sim,TC_0062.pdf,Sim,IMG_0062.jpg,Sim,DC_0062.pdf,2026-04-15,2026-04-15,Repositorio_DSP,Validado,Paula,
63,UUID-1063,Pedro,Pedra Branca,COM04,Sim,TC_0063.pdf,Sim,IMG_0063.jpg,Sim,DC_0063.pdf,2026-04-16,2026-04-16,Repositorio_DSP,Validado,Marina,
64,UUID-1064,Rafaela,Rio Claro,COM05,Sim,TC_0064.pdf,Sim,IMG_0064.jpg,Sim,DC_0064.pdf,2026-04-17,2026-04-17,Repositorio_DSP,Validado,João,
65,UUID-1065,Tiago,Santa Aurora,COM06,Sim,TC_0065.pdf,Sim,IMG_0065.jpg,Sim,DC_0065.pdf,2026-04-18,2026-04-18,Repositorio_DSP,Validado,Paula,
66,UUID-1066,Ana,Vale Verde,COM07,Sim,TC_0066.pdf,Sim,IMG_0066.jpg,Sim,DC_0066.pdf,2026-04-19,2026-04-19,Repositorio_DSP,Validado,Marina,
67,UUID-1067,Carlos,Serra Azul,COM08,Sim,TC_0067.pdf,Sim,IMG_0067.jpg,Sim,DC_0067.pdf,2026-04-20,2026-04-20,Repositorio_DSP,Validado,João,
68,UUID-1068,Júlia,Boa Esperança,COM09,Sim,TC_0068.pdf,Sim,IMG_0068.jpg,Sim,DC_0068.pdf,2026-04-21,2026-04-21,Repositorio_DSP,Validado,Paula,
69,UUID-1069,Pedro,Lagoa Nova,COM10,Sim,TC_0069.pdf,Sim,IMG_0069.jpg,Sim,DC_0069.pdf,2026-04-22,2026-04-22,Repositorio_DSP,Validado,Marina,
70,UUID-1070,Rafaela,São Miguel do Norte,COM11,Sim,TC_0070.pdf,Sim,IMG_0070.jpg,Sim,DC_0070.pdf,2026-04-23,2026-04-23,Repositorio_DSP,Validado,João,
71,UUID-1071,Tiago,Pedra Branca,COM12,Sim,TC_0071.pdf,Sim,IMG_0071.jpg,Sim,DC_0071.pdf,2026-04-24,2026-04-24,Repositorio_DSP,Validado,Paula,
72,UUID-1072,Ana,Rio Claro,COM01,Sim,TC_0072.pdf,Sim,IMG_0072.jpg,Sim,DC_0072.pdf,2026-04-25,2026-04-25,Repositorio_DSP,Validado,Marina,
73,UUID-1073,Carlos,Santa Aurora,COM02,Sim,TC_0073.pdf,Sim,IMG_0073.jpg,Sim,DC_0073.pdf,2026-04-26,2026-04-26,Repositorio_DSP,Validado,João,
74,UUID-1074,Júlia,Vale Verde,COM03,Sim,TC_0075.docx,Sim,IMG_0074.jpg,Sim,DC_0074.pdf,2026-04-27,2026-04-27,Repositorio_DSP,Validado,Paula,
75,UUID-1075,Pedro,Serra Azul,COM04,Sim,TC_0075.pdf,Sim,IMG_0075.jpg,Sim,DC_0075.pdf,2026-04-28,2026-04-28,Repositorio_DSP,Validado,Marina,
76,UUID-1076,Rafaela,Boa Esperança,COM05,Sim,TC_0076.pdf,Sim,IMG_0076.jpg,Sim,DC_0076.pdf,2026-04-10,2026-04-10,Repositorio_DSP,Validado,João,
77,UUID-1077,Tiago,Lagoa Nova,COM06,Sim,TC_0077.pdf,Sim,IMG_0077.jpg,Sim,DC_0077.pdf,2026-04-11,2026-04-11,Repositorio_DSP,Validado,Paula,
78,UUID-1078,Ana,São Miguel do Norte,COM07,Sim,TC_0078.pdf,Sim,IMG_0078.jpg,Sim,DC_0078.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,Marina,
79,UUID-1079,Carlos,Pedra Branca,COM08,Sim,TC_0079.pdf,Sim,IMG_0079.jpg,Sim,DC_0079.pdf,2026-04-13,2026-04-13,Repositorio_DSP,Validado,João,
80,UUID-1080,Júlia,Rio Claro,COM09,Sim,TC_0080.pdf,Sim,IMG_0080.jpg,Sim,DC_0080.pdf,2026-04-14,2026-04-14,Repositorio_DSP,Validado,Paula,
81,UUID-1081,Pedro,Santa Aurora,COM10,Sim,TC_0081.pdf,Sim,IMG_0081.jpg,Sim,DC_0081.pdf,2026-04-15,2026-04-15,Repositorio_DSP,Validado,Marina,
82,UUID-1082,Rafaela,Vale Verde,COM11,Sim,TC_0082.pdf,Sim,IMG_0082.jpg,Sim,DC_0082.pdf,2026-04-16,2026-04-16,Repositorio_DSP,Validado,João,
83,UUID-1083,Tiago,Serra Azul,COM12,Sim,TC_0083.pdf,Sim,IMG_0083.jpg,Sim,DC_0083.pdf,2026-04-17,2026-04-17,Repositorio_DSP,Validado,Paula,
84,UUID-1084,Ana,Boa Esperança,COM01,Sim,TC_0084.pdf,Sim,IMG_0084.jpg,Sim,DC_0084.pdf,2026-04-18,2026-04-18,Repositorio_DSP,Validado,Marina,
85,UUID-1085,Carlos,Lagoa Nova,COM02,Sim,TC_0085.pdf,Sim,IMG_0085.jpg,Sim,DC_0085.pdf,2026-04-19,2026-04-19,Repositorio_DSP,Validado,João,
86,UUID-1086,Júlia,São Miguel do Norte,COM03,Sim,TC_0086.pdf,Sim,IMG_0086.jpg,Sim,DC_0086.pdf,2026-04-20,2026-04-20,Repositorio_DSP,Validado,Paula,
87,UUID-1087,Pedro,Pedra Branca,COM04,Sim,TC_0087.pdf,Sim,foto final FINAL.jpg,Sim,DC_0087.pdf,2026-04-21,2026-04-21,Repositorio_DSP,Validado,Marina,
88,UUID-1088,Rafaela,Rio Claro,COM05,Sim,TC_0088.pdf,Sim,IMG_0088.jpg,Sim,DC_0088.pdf,2026-04-22,2026-04-22,Repositorio_DSP,Validado,João,
89,UUID-1089,Tiago,Santa Aurora,COM06,Sim,TC_0089.pdf,Sim,IMG_0089.jpg,Sim,DC_0089.pdf,2026-04-23,2026-04-23,Repositorio_DSP,Validado,Paula,
90,UUID-1090,Ana,Vale Verde,COM07,Sim,TC_0090.pdf,Sim,IMG_0090.jpg,Sim,DC_0090.pdf,2026-04-24,2026-04-24,Repositorio_DSP,Validado,Marina,
91,UUID-1091,Carlos,Serra Azul,COM08,Sim,TC_0091.pdf,Sim,IMG_0091.jpg,Sim,DC_0091.pdf,2026-04-25,2026-04-25,Repositorio_DSP,Validado,João,
92,UUID-1092,Júlia,Boa Esperança,COM09,Sim,TC_0092.pdf,Sim,IMG_0092.jpg,Sim,DC_0092.pdf,2026-04-26,2026-04-26,Repositorio_DSP,Validado,Paula,
93,UUID-1093,Pedro,Lagoa Nova,COM10,Sim,TC_0093.pdf,Sim,IMG_0093.jpg,Sim,DC_0093.pdf,2026-04-27,2026-04-27,Repositorio_DSP,Validado,Marina,
94,UUID-1094,Rafaela,São Miguel do Norte,COM11,Sim,TC_0094.pdf,Sim,IMG_0094.jpg,Sim,DC_0094.pdf,2026-04-28,2026-04-28,Repositorio_DSP,Validado,João,
95,UUID-1095,Tiago,Pedra Branca,COM12,Sim,TC_0095.pdf,Sim,IMG_0095.jpg,Sim,DC_0095.pdf,2026-04-10,2026-04-10,Repositorio_DSP,Validado,Paula,
96,UUID-1096,Ana,Rio Claro,COM01,Sim,TC_0096.pdf,Sim,IMG_0096.jpg,Sim,DC_0096.pdf,2026-04-11,2026-04-11,Repositorio_DSP,Validado,Marina,
97,UUID-1097,Carlos,Santa Aurora,COM02,Sim,TC_0097.pdf,Sim,IMG_0097.jpg,Sim,DC_0097.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,João,
98,UUID-1098,Júlia,Vale Verde,COM03,Sim,TC_0098.pdf,Sim,IMG_0098.jpg,Sim,DC_0098.pdf,2026-04-13,2026-04-13,Repositorio_DSP,Validado,Paula,
99,UUID-1099,Fulano,Serra Azul,COM04,Sim,TC_0099.pdf,Sim,IMG_0099.jpg,Sim,DC_0099.pdf,2026-04-14,2026-04-14,Repositorio_DSP,Validado,Marina,
100,UUID-1100,Rafaela,Boa Esperança,COM05,Sim,TC_0100.pdf,Sim,IMG_0100.jpg,Sim,DC_0100.pdf,2026-04-15,2026-04-15,Repositorio_DSP,Validado,João,
101,UUID-1101,Tiago,Lagoa Nova,COM06,Sim,TC_0101.pdf,Sim,IMG_0101.jpg,Sim,DC_0101.pdf,2026-04-16,2026-04-16,Repositorio_DSP,Validado,Paula,
102,UUID-1102,Ana,São Miguel do Norte,COM07,Sim,TC_0102.pdf,Sim,IMG_0102.jpg,Sim,DC_0102.pdf,2026-04-17,2026-04-17,Repositorio_DSP,Validado,Marina,
103,UUID-1103,Carlos,Pedra Branca,COM08,Sim,TC_0103.pdf,Sim,IMG_0103.jpg,Sim,DC_0103.pdf,2026-04-18,2026-04-18,Repositorio_DSP,Validado,João,
104,UUID-1104,Júlia,Rio Claro,COM09,Sim,TC_0104.pdf,Sim,IMG_0104.jpg,Sim,DC_0104.pdf,2026-04-19,2026-04-19,Repositorio_DSP,Validado,Paula,
105,UUID-1105,Pedro,Santa Aurora,COM10,Sim,TC_0105.pdf,Sim,IMG_0105.jpg,Sim,DC_0105.pdf,2026-04-20,2026-04-20,Repositorio_DSP,Validado,Marina,
106,UUID-1106,Rafaela,Vale Verde,COM11,Sim,TC_0106.pdf,Sim,IMG_0106.jpg,Sim,DC_0106.pdf,2026-04-21,2026-04-21,Repositorio_DSP,Validado,João,
107,UUID-1107,Tiago,Serra Azul,COM12,Sim,TC_0107.pdf,Sim,IMG_0107.jpg,Sim,DC_0107.pdf,2026-04-22,2026-04-22,Repositorio_DSP,Validado,Paula,
108,UUID-1108,Ana,Boa Esperança,COM01,Sim,TC_0108.pdf,Sim,IMG_0108.jpg,Sim,DC_0108.pdf,2026-04-23,2026-04-23,Repositorio_DSP,Validado,Marina,
109,UUID-1109,Carlos,Lagoa Nova,COM02,Sim,TC_0109.pdf,Sim,IMG_0109.jpg,Sim,DC_0109.pdf,2026-04-24,2026-04-24,Repositorio_DSP,Validado,João,
110,UUID-1110,Júlia,São Miguel do Norte,COM03,Sim,TC_0110.pdf,Sim,IMG_0110.jpg,Sim,DC_0110.pdf,2026-04-25,2026-04-25,Repositorio_DSP,Validado,Paula,
111,UUID-1111,Pedro,Pedra Branca,COM04,Sim,TC_0111.pdf,Sim,IMG_0111.jpg,Sim,DC_0111.pdf,2026-04-26,2026-04-26,Repositorio_DSP,Validado,Marina,
112,UUID-1112,Rafaela,Rio Claro,COM05,Sim,TC_0112.pdf,Sim,IMG_0112.jpg,Sim,DC_0112.pdf,2026-04-27,2026-04-27,Repositorio_DSP,Validado,João,
113,UUID-1113,Tiago,Santa Aurora,COM06,Sim,TC_0113.pdf,Sim,IMG_0113.jpg,Sim,DC_0113.pdf,2026-04-28,2026-04-28,Repositorio_DSP,Validado,Paula,
114,UUID-1114,Ana,Vale Verde,COM07,Sim,TC_0114.pdf,Sim,IMG_0114.jpg,Sim,DC_0114.pdf,2026-04-10,2026-04-10,Repositorio_DSP,Validado,Marina,
115,UUID-1115,Carlos,Serra Azul,COM08,Sim,TC_0115.pdf,Sim,IMG_0115.jpg,Sim,DC_0115.pdf,2026-04-11,2026-04-11,Repositorio_DSP,Validado,João,
116,UUID-1116,Júlia,Boa Esperança,COM09,Sim,TC_0116.pdf,Sim,IMG_0116.jpg,Sim,DC_0116.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,Paula,
117,UUID-1117,Pedro,Lagoa Nova,COM10,Sim,TC_0117.pdf,Sim,IMG_0117.jpg,Sim,DC_0117.pdf,2026-04-13,2026-04-13,Repositorio_DSP,Validado,Marina,
118,UUID-1118,Rafaela,São Miguel do Norte,COM11,Sim,TC_0118.pdf,Sim,IMG_0118.jpg,Sim,DC_0118.pdf,2026-04-14,2026-04-14,Repositorio_DSP,Validado,João,
119,UUID-1119,Tiago,Pedra Branca,COM12,Sim,TC_0119.pdf,Sim,IMG_0119.jpg,Sim,DC_0119.pdf,2026-04-15,2026-04-15,Repositorio_DSP,Validado,,
120,UUID-1120,Ana,Rio Claro,COM01,Sim,TC_0120.pdf,Sim,IMG_0120.jpg,Sim,DC_0120.pdf,2026-04-16,2026-04-16,Repositorio_DSP,Validado,Marina,
121,UUID-1121,Carlos,Santa Aurora,COM02,Sim,TC_0121.pdf,Sim,IMG_0121.jpg,Sim,DC_0121.pdf,2026-04-17,2026-04-17,Repositorio_DSP,Validado,João,
122,UUID-1122,Júlia,Vale Verde,COM03,Sim,TC_0122.pdf,Sim,IMG_0122.jpg,Sim,DC_0122.pdf,2026-04-18,2026-04-18,Repositorio_DSP,Validado,Paula,
123,UUID-1123,Pedro,Serra Azul,COM04,Sim,TC_0123.pdf,Sim,IMG_0123.jpg,Sim,DC_0123.pdf,2026-04-19,2026-04-19,Repositorio_DSP,Validado,Marina,
124,UUID-1124,Rafaela,Boa Esperança,COM05,Sim,TC_0124.pdf,Sim,IMG_0124.jpg,Sim,DC_0124.pdf,2026-04-20,2026-04-20,Repositorio_DSP,Validado,João,
125,UUID-1125,Tiago,Lagoa Nova,COM06,Sim,TC_0125.pdf,Sim,IMG_0125.jpg,Sim,DC_0125.pdf,2026-04-21,2026-04-21,Repositorio_DSP,Validado,Paula,
126,UUID-1126,Ana,São Miguel do Norte,COM07,Sim,TC_0126.pdf,Sim,IMG_0126.jpg,Sim,DC_0126.pdf,2026-04-22,2026-04-22,Repositorio_DSP,Validado,Marina,
127,UUID-1127,Carlos,Pedra Branca,COM08,Sim,TC_0127.pdf,Sim,IMG_0127.jpg,Sim,DC_0127.pdf,2026-04-23,2026-04-23,Repositorio_DSP,Validado,João,
128,UUID-1128,Júlia,Rio Claro,COM09,Sim,TC_0128.pdf,Sim,IMG_0128.jpg,Sim,DC_0128.pdf,2026-04-24,2026-04-24,Repositorio_DSP,Validado,Paula,
129,UUID-1129,Pedro,Santa Aurora,COM10,Sim,TC_0129.pdf,Sim,IMG_0129.jpg,Sim,DC_0129.pdf,2026-04-25,2026-04-25,Repositorio_DSP,Validado,Marina,
130,UUID-1130,Rafaela,Vale Verde,COM11,Sim,TC_0130.pdf,Sim,IMG_0130.jpg,Sim,DC_0130.pdf,2026-04-26,2026-04-26,Repositorio_DSP,Validado,João,
131,UUID-1131,Tiago,Serra Azul,COM12,Sim,TC_0131.pdf,Sim,IMG_0131.jpg,Sim,DC_0131.pdf,2026-04-27,2026-04-27,Repositorio_DSP,Validado,Paula,
132,UUID-1132,Ana,Boa Esperança,COM01,Sim,TC_0132.pdf,Sim,IMG_0132.jpg,Sim,DC_0132.pdf,2026-04-28,2026-04-28,Repositorio_DSP,Validado,Marina,
133,UUID-1133,Carlos,Lagoa Nova,COM02,Sim,TC_0133.pdf,Sim,IMG_0133.jpg,Sim,DC_0133.pdf,2026-04-10,2026-04-10,Repositorio_DSP,Validado,João,
134,UUID-1134,Júlia,São Miguel do Norte,COM03,Sim,TC_0134.pdf,Sim,IMG_0134.jpg,Sim,DC_0134.pdf,2026-04-11,2026-04-11,Repositorio_DSP,Validado,Paula,Termo ilegível
135,UUID-1135,Pedro,Pedra Branca,COM04,Sim,TC_0135.pdf,Sim,IMG_0135.jpg,Sim,DC_0135.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,Marina,
